Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782347585,5,,Aggregated,1.300000,0.000000,690,830,890,1100,1800,2100,2200,2200,2200,2200,2200,31,0,690,834.9715309375296,215.1703750132583,2243.7936670030467,3625.9032258064517
1782347586,5,,Aggregated,1.300000,0.000000,690,830,890,1100,1800,2100,2200,2200,2200,2200,2200,31,0,690,834.9715309375296,215.1703750132583,2243.7936670030467,3625.9032258064517
1782347587,5,,Aggregated,1.300000,0.000000,720,860,920,1100,1800,2100,2200,2200,2200,2200,2200,32,0,690,837.6372682523652,215.1703750132583,2243.7936670030467,3918.0625
1782347588,10,,Aggregated,1.300000,0.000000,690,860,920,1100,1800,2100,2200,2200,2200,2200,2200,35,0,690,816.829478573553,215.1703750132583,2243.7936670030467,4326.228571428572
1782347589,10,,Aggregated,1.300000,0.000000,690,860,920,1100,1800,2100,2200,2200,2200,2200,2200,37,0,690,808.757738758514,215.1703750132583,2243.7936670030467,4476.27027027027
1782347590,10,,Aggregated,1.300000,0.000000,690,860,920,1100,1800,2100,2200,2200,2200,2200,2200,37,0,690,808.757738758514,215.1703750132583,2243.7936670030467,4476.27027027027
1782347591,10,,Aggregated,1.400000,0.000000,680,830,920,1100,1800,2100,2200,2200,2200,2200,2200,40,0,670,764.9670000260812,215.1703750132583,2243.7936670030467,5113.675
1782347592,10,,Aggregated,1.400000,0.000000,680,830,920,1100,1800,2100,2200,2200,2200,2200,2200,40,0,670,764.9670000260812,215.1703750132583,2243.7936670030467,5113.675
1782347593,10,,Aggregated,1.300000,0.000000,670,820,890,920,1800,1900,2200,2200,2200,2200,2200,44,0,670,740.5750180240085,215.1703750132583,2243.7936670030467,4973.659090909091
1782347594,10,,Aggregated,1.300000,0.000000,670,820,870,920,1800,1900,2200,2200,2200,2200,2200,45,0,670,729.0288926231572,215.1703750132583,2243.7936670030467,4863.133333333333
1782347595,10,,Aggregated,1.300000,0.000000,670,820,870,920,1800,1900,2200,2200,2200,2200,2200,47,0,670,720.0353980860723,215.1703750132583,2243.7936670030467,4682.340425531915
1782347596,10,,Aggregated,1.600000,0.000000,670,820,860,920,1800,1900,2200,2200,2200,2200,2200,49,0,670,712.8257559801272,215.1703750132583,2243.7936670030467,5020.816326530612
1782347597,10,,Aggregated,1.600000,0.000000,670,820,870,920,1100,1900,2100,2200,2200,2200,2200,51,0,670,709.5345629421382,215.1703750132583,2243.7936670030467,4849.78431372549
1782347598,10,,Aggregated,1.600000,0.000000,670,820,870,920,1100,1900,2100,2200,2200,2200,2200,52,0,660,700.8915368854874,215.1703750132583,2243.7936670030467,4756.5192307692305
1782347599,10,,Aggregated,1.700000,0.000000,660,810,870,920,1100,1900,2100,2200,2200,2200,2200,56,0,650,682.1270722154752,212.17466701637022,2243.7936670030467,4648.464285714285
1782347600,10,,Aggregated,1.800000,0.000000,660,810,860,920,1100,1900,2100,2200,2200,2200,2200,58,0,650,682.4121623804817,212.17466701637022,2243.7936670030467,4509.362068965517
1782347601,10,,Aggregated,1.900000,0.000000,650,760,860,920,1100,1900,2100,2200,2200,2200,2200,60,0,650,668.9686840511664,212.17466701637022,2243.7936670030467,4576.8
1782347602,10,,Aggregated,1.900000,0.000000,650,760,860,890,1100,1800,2100,2200,2200,2200,2200,61,0,650,668.8706803619366,212.17466701637022,2243.7936670030467,4501.770491803279
1782347603,10,,Aggregated,2.000000,0.000000,660,750,860,890,1100,1800,2100,2200,2200,2200,2200,62,0,650,670.2576848399457,212.17466701637022,2243.7936670030467,4429.1612903225805
1782347604,10,,Aggregated,2.000000,0.000000,660,760,860,920,1100,1800,2100,2200,2200,2200,2200,63,0,660,674.8613776677909,212.17466701637022,2243.7936670030467,4378.3650793650795
1782347605,10,,Aggregated,1.800000,0.000000,660,760,860,920,1100,1800,2100,2200,2200,2200,2200,65,0,660,669.6284404163284,212.17466701637022,2243.7936670030467,4443.261538461538
1782347606,10,,Aggregated,1.800000,0.000000,650,750,860,890,1100,1800,2100,2200,2200,2200,2200,68,0,650,655.4555037069161,209.0012920089066,2243.7936670030467,4266.632352941177
1782347607,10,,Aggregated,1.800000,0.000000,650,750,830,890,1100,1800,2100,2200,2200,2200,2200,69,0,650,655.7484094502296,209.0012920089066,2243.7936670030467,4204.797101449275
1782347608,10,,Aggregated,1.700000,0.000000,650,750,830,890,1100,1800,2100,2200,2200,2200,2200,70,0,650,649.4704440726699,209.0012920089066,2243.7936670030467,4146.0142857142855
1782347609,10,,Aggregated,1.800000,0.000000,650,750,860,890,1100,1800,2100,2200,2200,2200,2200,72,0,650,652.5689068483997,209.0012920089066,2243.7936670030467,4228.125
1782347610,10,,Aggregated,1.800000,0.000000,650,730,830,890,1100,1800,2100,2200,2200,2200,2200,74,0,630,640.8532365013663,209.0012920089066,2243.7936670030467,4289.189189189189
1782347611,10,,Aggregated,1.500000,0.000000,620,730,820,870,1100,1800,2100,2200,2200,2200,2200,77,0,620,625.1376704683273,209.0012920089066,2243.7936670030467,4290.584415584415
1782347612,10,,Aggregated,1.600000,0.000000,620,730,820,870,1100,1800,2100,2200,2200,2200,2200,79,0,620,620.1252125706848,209.0012920089066,2243.7936670030467,4361.7594936708865
1782347613,10,,Aggregated,1.700000,0.000000,620,720,820,860,1100,1800,2100,2200,2200,2200,2200,82,0,610,616.2236910742827,209.0012920089066,2243.7936670030467,4376.5
