Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/list,87,0,280,461.07599811512046,215.1703750132583,2204.3937499984168,12975.0,0.5832667840811495,0.0,280,430,860,870,910,920,1700,2200,2200,2200,2200
GET,GET /api/v1/{agent}/connectivity,37,0,750,923.428989975946,598.6557079886552,2215.3437079978175,1229.0,0.248055988632213,0.0,750,870,960,1100,1700,2200,2200,2200,2200,2200,2200
GET,GET /readyz,30,0,280,389.12965550262015,215.85316699929535,1169.787000020733,90.0,0.2011264772693619,0.0,290,370,430,600,730,1100,1200,1200,1200,1200,1200
POST,POST /api/v1/{agent}/streaming_chat,66,0,250,527.337720334551,212.01504199416377,2243.7936670030467,0.0,0.44247824999259616,0.0,250,670,700,730,820,1800,2100,2200,2200,2200,2200
POST,POST /api/v1/{agent}/streaming_chat (multi-turn),12,0,270,543.8751527447797,209.0012920089066,1846.0866659879684,0.0,0.08045059090774476,0.0,270,290,650,650,1400,1800,1800,1800,1800,1800,1800
,Aggregated,232,0,320,548.6429547638871,209.0012920089066,2243.7936670030467,5073.267241379311,1.5553780908830652,0.0,330,660,740,830,920,1400,2100,2200,2200,2200,2200
