Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/list,110,0,230,364.2051242217845,219.68929201830178,1535.232583002653,12975.0,0.7305184853698428,0.0,230,240,240,290,910,930,950,970,1500,1500,1500
GET,GET /api/v1/{agent}/connectivity,33,0,720,803.3724936998844,626.5802910202183,2467.7074589999393,1229.0,0.21915554561095282,0.0,720,740,760,790,1000,1400,2500,2500,2500,2500,2500
GET,GET /readyz,30,0,240,315.9659945309007,235.69549998501316,1841.6823329753242,90.0,0.1992323141917753,0.0,240,240,240,240,250,940,1800,1800,1800,1800,1800
POST,POST /api/v1/{agent}/streaming_chat,81,0,240,500.11437907412557,216.98624995769933,1817.5425000372343,0.0,0.5379272483177933,0.0,240,680,700,700,710,1300,1700,1800,1800,1800,1800
POST,POST /api/v1/{agent}/streaming_chat (multi-turn),31,0,240,333.85904699811834,218.54058397002518,1830.2660419722088,0.0,0.20587339133150115,0.0,240,240,240,240,240,1800,1800,1800,1800,1800,1800
,Aggregated,285,0,240,445.304319138124,216.98624995769933,2467.7074589999393,5159.6736842105265,1.8927069848218654,0.0,240,290,690,710,890,970,1700,1800,2500,2500,2500
