Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782179190,5,,Aggregated,1.100000,0.000000,250,690,950,1000,2900,3000,3400,3400,3400,3400,3400,36,0,250,781.1544028631438,216.97658402263187,3394.8027080041356,5115.583333333333
1782179191,5,,Aggregated,1.100000,0.000000,250,690,950,1000,2900,3000,3400,3400,3400,3400,3400,36,0,250,781.1544028631438,216.97658402263187,3394.8027080041356,5115.583333333333
1782179192,5,,Aggregated,1.100000,0.000000,250,730,900,1000,2900,3000,3400,3400,3400,3400,3400,37,0,250,779.7090034614116,216.97658402263187,3394.8027080041356,4977.324324324324
1782179193,10,,Aggregated,1.100000,0.000000,660,730,890,950,1800,3000,3400,3400,3400,3400,3400,45,0,660,768.8130769115459,216.97658402263187,3394.8027080041356,4401.711111111111
1782179194,10,,Aggregated,1.100000,0.000000,660,730,890,950,1800,3000,3400,3400,3400,3400,3400,45,0,660,768.8130769115459,216.97658402263187,3394.8027080041356,4401.711111111111
1782179195,10,,Aggregated,1.100000,0.000000,660,730,890,910,1800,3000,3400,3400,3400,3400,3400,46,0,410,757.1872745004088,216.97658402263187,3394.8027080041356,4588.086956521739
1782179196,10,,Aggregated,1.700000,0.000000,410,730,890,950,1800,3000,3400,3400,3400,3400,3400,49,0,410,740.8043767345774,216.97658402263187,3394.8027080041356,4573.816326530612
1782179197,10,,Aggregated,1.500000,0.000000,630,730,890,910,1400,3000,3000,3400,3400,3400,3400,51,0,630,737.2286054311439,216.97658402263187,3394.8027080041356,4402.901960784314
1782179198,10,,Aggregated,1.500000,0.000000,630,730,890,910,1400,3000,3000,3400,3400,3400,3400,52,0,410,727.4878750378356,216.97658402263187,3394.8027080041356,4318.2307692307695
1782179199,10,,Aggregated,1.800000,0.000000,410,730,870,910,1400,3000,3000,3400,3400,3400,3400,53,0,410,718.1860432819516,216.97658402263187,3394.8027080041356,4481.566037735849
1782179200,10,,Aggregated,1.900000,0.000000,410,730,890,910,1400,3000,3000,3400,3400,3400,3400,56,0,300,704.7215930345244,216.97658402263187,3394.8027080041356,4473.178571428572
1782179201,10,,Aggregated,1.900000,0.000000,430,730,870,910,1400,3000,3000,3400,3400,3400,3400,58,0,410,698.8089023266341,216.97658402263187,3394.8027080041356,4341.672413793103
1782179202,10,,Aggregated,1.900000,0.000000,410,720,770,900,1000,2900,3000,3400,3400,3400,3400,61,0,410,685.0838661465801,216.97658402263187,3394.8027080041356,4148.295081967213
1782179203,10,,Aggregated,2.200000,0.000000,410,720,790,900,1000,2900,3000,3400,3400,3400,3400,63,0,410,679.5172652535488,216.97658402263187,3394.8027080041356,4037.5396825396824
1782179204,10,,Aggregated,2.100000,0.000000,410,720,790,900,1000,2900,3000,3400,3400,3400,3400,64,0,380,673.5177448431386,216.97658402263187,3394.8027080041356,4177.1875
1782179205,10,,Aggregated,2.100000,0.000000,410,720,770,900,1000,2900,3000,3400,3400,3400,3400,65,0,410,674.9453013382243,216.97658402263187,3394.8027080041356,4112.923076923077
1782179206,10,,Aggregated,1.800000,0.000000,300,720,770,890,1000,2900,3000,3400,3400,3400,3400,70,0,300,643.7910929135147,216.97658402263187,3394.8027080041356,4375.214285714285
1782179207,10,,Aggregated,2.000000,0.000000,280,690,730,870,1000,2900,3000,3400,3400,3400,3400,73,0,280,626.8643807661273,216.97658402263187,3394.8027080041356,4374.3835616438355
1782179208,10,,Aggregated,2.000000,0.000000,280,690,770,890,1000,2900,3000,3400,3400,3400,3400,75,0,280,625.4636817324596,216.97658402263187,3394.8027080041356,4603.733333333334
1782179209,10,,Aggregated,2.100000,0.000000,300,680,730,870,1000,2900,3000,3400,3400,3400,3400,78,0,280,617.528503255856,216.97658402263187,3394.8027080041356,4442.423076923077
1782179210,10,,Aggregated,2.300000,0.000000,250,670,730,790,1000,1800,3000,3400,3400,3400,3400,84,0,250,590.1385625232555,216.97658402263187,3394.8027080041356,4435.107142857143
1782179211,10,,Aggregated,2.400000,0.000000,250,670,730,790,1000,1800,3000,3400,3400,3400,3400,85,0,250,591.5249235524029,216.97658402263187,3394.8027080041356,4382.929411764706
1782179212,10,,Aggregated,2.300000,0.000000,250,670,730,790,1000,1800,3000,3400,3400,3400,3400,87,0,250,591.2761264591044,216.97658402263187,3394.8027080041356,4580.448275862069
1782179213,10,,Aggregated,2.300000,0.000000,250,670,730,790,1000,1800,3000,3400,3400,3400,3400,87,0,250,591.2761264591044,216.97658402263187,3394.8027080041356,4580.448275862069
1782179214,10,,Aggregated,2.700000,0.000000,250,670,730,770,950,1800,3000,3400,3400,3400,3400,91,0,250,580.602688669447,216.97658402263187,3394.8027080041356,4532.0329670329675
1782179215,10,,Aggregated,2.700000,0.000000,250,670,730,770,950,1800,3000,3400,3400,3400,3400,91,0,250,580.602688669447,216.97658402263187,3394.8027080041356,4532.0329670329675
1782179216,10,,Aggregated,2.600000,0.000000,250,660,730,770,950,1800,3000,3400,3400,3400,3400,93,0,250,581.2986501065703,216.97658402263187,3394.8027080041356,4448.752688172043
1782179217,10,,Aggregated,2.600000,0.000000,250,660,730,770,950,1800,3000,3400,3400,3400,3400,94,0,250,577.5713559563341,216.97658402263187,3394.8027080041356,4401.425531914893
1782179218,10,,Aggregated,2.500000,0.000000,280,650,730,770,950,1800,3000,3400,3400,3400,3400,96,0,250,575.2758745820756,216.97658402263187,3394.8027080041356,4318.59375
1782179219,10,,Aggregated,2.400000,0.000000,280,650,720,770,950,1800,3000,3400,3400,3400,3400,98,0,280,577.3422908253507,216.97658402263187,3394.8027080041356,4243.0
1782179220,10,,Aggregated,1.900000,0.000000,280,650,720,770,950,1800,3000,3400,3400,3400,3400,100,0,250,570.4483533385792,216.97658402263187,3394.8027080041356,4158.14
1782179221,10,,Aggregated,2.000000,0.000000,250,650,720,770,930,1400,3000,3000,3400,3400,3400,105,0,250,560.5918277797866,216.97658402263187,3394.8027080041356,4084.5619047619048
1782179222,10,,Aggregated,2.000000,0.000000,250,640,720,730,930,1400,3000,3000,3400,3400,3400,106,0,250,557.636454008423,216.97658402263187,3394.8027080041356,4168.433962264151
1782179223,10,,Aggregated,1.900000,0.000000,250,640,720,730,930,1400,3000,3000,3400,3400,3400,107,0,250,558.3278481298013,216.97658402263187,3394.8027080041356,4133.5046728971965
1782179224,10,,Aggregated,2.100000,0.000000,250,640,710,730,930,1400,3000,3000,3400,3400,3400,109,0,250,556.1934300357104,216.97658402263187,3394.8027080041356,4184.504587155963
1782179225,10,,Aggregated,1.900000,0.000000,250,640,710,730,920,1400,3000,3000,3400,3400,3400,111,0,250,550.3005990892259,216.97658402263187,3394.8027080041356,4226.810810810811
1782179226,10,,Aggregated,1.900000,0.000000,250,640,700,730,920,1400,3000,3000,3400,3400,3400,114,0,250,542.1746410694986,216.97658402263187,3394.8027080041356,4229.394736842105
1782179227,10,,Aggregated,1.800000,0.000000,250,640,710,730,930,1400,3000,3000,3400,3400,3400,115,0,250,545.9116188341084,216.97658402263187,3394.8027080041356,4305.44347826087
1782179228,10,,Aggregated,2.100000,0.000000,250,640,710,730,930,1400,3000,3000,3400,3400,3400,118,0,250,547.1749085330175,216.97658402263187,3394.8027080041356,4213.610169491525
1782179229,10,,Aggregated,2.000000,0.000000,250,640,710,730,930,1400,3000,3000,3400,3400,3400,120,0,250,542.3638722158406,216.97658402263187,3394.8027080041356,4252.258333333333
1782179230,10,,Aggregated,2.200000,0.000000,250,640,700,730,920,1000,3000,3000,3400,3400,3400,123,0,250,534.7011293896485,216.97658402263187,3394.8027080041356,4254.032520325203
1782179231,10,,Aggregated,2.200000,0.000000,250,630,690,730,920,1000,3000,3000,3400,3400,3400,126,0,250,527.6741087852445,216.97658402263187,3394.8027080041356,4358.6984126984125
1782179232,10,,Aggregated,2.200000,0.000000,250,630,690,730,920,1000,3000,3000,3400,3400,3400,126,0,250,527.6741087852445,216.97658402263187,3394.8027080041356,4358.6984126984125
1782179233,10,,Aggregated,2.000000,0.000000,250,630,680,730,920,1000,3000,3000,3400,3400,3400,129,0,250,524.0589072862406,216.97658402263187,3394.8027080041356,4361.2558139534885
1782179234,10,,Aggregated,2.000000,0.000000,250,630,680,730,920,1000,3000,3000,3400,3400,3400,132,0,250,517.4893298401113,216.97658402263187,3394.8027080041356,4361.113636363636
1782179235,10,,Aggregated,2.000000,0.000000,250,630,670,730,920,1000,3000,3000,3400,3400,3400,133,0,250,515.3765999164985,216.97658402263187,3394.8027080041356,4328.3233082706765
1782179236,10,,Aggregated,2.100000,0.000000,250,630,680,730,920,1000,3000,3000,3400,3400,3400,135,0,250,514.6489061548857,216.97658402263187,3394.8027080041356,4264.2
1782179237,10,,Aggregated,2.300000,0.000000,250,630,670,720,920,1000,3000,3000,3400,3400,3400,138,0,250,512.8602783762566,216.97658402263187,3394.8027080041356,4272.340579710145
1782179238,10,,Aggregated,2.100000,0.000000,250,630,670,720,910,1000,3000,3000,3400,3400,3400,141,0,250,511.4705523045433,216.97658402263187,3394.8027080041356,4273.4609929078015
1782179239,10,,Aggregated,2.100000,0.000000,250,630,670,720,910,1000,3000,3000,3400,3400,3400,142,0,250,510.2596643163977,216.97658402263187,3394.8027080041356,4243.366197183099
1782179240,10,,Aggregated,2.300000,0.000000,250,630,670,720,910,1000,3000,3000,3400,3400,3400,146,0,250,509.7311869309896,216.97658402263187,3394.8027080041356,4219.54794520548
1782179241,10,,Aggregated,2.300000,0.000000,240,630,670,720,910,1000,3000,3000,3400,3400,3400,149,0,240,503.98424329472886,216.97658402263187,3394.8027080041356,4308.751677852349
1782179242,10,,Aggregated,2.300000,0.000000,240,630,670,720,910,1000,3000,3000,3400,3400,3400,149,0,240,503.98424329472886,216.97658402263187,3394.8027080041356,4308.751677852349
1782179243,10,,Aggregated,2.300000,0.000000,240,620,670,720,910,1000,2900,3000,3400,3400,3400,152,0,240,498.6741400848826,216.97658402263187,3394.8027080041356,4309.0723684210525
1782179244,10,,Aggregated,2.300000,0.000000,240,580,660,720,910,1000,2900,3000,3400,3400,3400,155,0,240,493.62150538626366,216.26399998785928,3394.8027080041356,4226.251612903226
1782179245,10,,Aggregated,2.300000,0.000000,240,620,660,720,910,1000,2900,3000,3400,3400,3400,157,0,240,496.02296233034815,216.26399998785928,3394.8027080041356,4180.24203821656
1782179246,10,,Aggregated,2.400000,0.000000,240,620,660,720,910,1000,2900,3000,3400,3400,3400,158,0,240,494.36438450541146,216.26399998785928,3394.8027080041356,4154.354430379747
1782179247,10,,Aggregated,2.300000,0.000000,240,620,660,720,910,1000,2900,3000,3400,3400,3400,160,0,240,493.7550630304031,216.26399998785928,3394.8027080041356,4110.10625
